Series Name,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Trained teachers in primary education (% of total teachers),United Arab Emirates,ARE,..,..,..,100,100,100,100,100,..,..,..,..
Trained teachers in primary education (% of total teachers),United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),United States,USA,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Uruguay,URY,..,..,..,..,100,100,100,100,100,100,..,..
Trained teachers in primary education (% of total teachers),Uzbekistan,UZB,..,..,100,..,..,..,..,..,98.9449234,99.03334808,99.97644043,..
Trained teachers in primary education (% of total teachers),Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Vietnam,VNM,..,80.04963684,99.30258179,99.58830261,..,100,99.47605133,99.77422333,99.72022247,99.86837769,99.52092743,..
Trained teachers in primary education (% of total teachers),Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),West Bank and Gaza,PSE,..,100,100,100,100,100,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Zambia,ZMB,..,..,..,92.6558609,..,..,..,..,98.75029755,..,..,..
Trained teachers in primary education (% of total teachers),Zimbabwe,ZWE,..,..,..,88.15412903,85.86290741,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Arab World,ARB,..,..,90.56873322,85.70710754,84.56568146,86.91449738,86.72273254,86.10346985,86.54154968,86.81759644,84.99745178,..
Trained teachers in primary education (% of total teachers),Caribbean small states,CSS,..,74.55419159,76.78000641,77.35427856,76.19258881,84.85536194,85.16436768,85.63699341,85.08270264,86.88038635,82.75469971,..
Trained teachers in primary education (% of total teachers),Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Early-demographic dividend,EAR,..,..,..,86.24712372,83.35118103,83.4016571,81.2201004,80.74104309,80.25891113,83.08020782,79.58872986,..
Trained teachers in primary education (% of total teachers),East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Europe & Central Asia (excluding high income),ECA,..,..,..,..,90.65847015,89.67592621,89.61813354,89.53585815,89.42292786,89.32839203,89.58503723,..
Trained teachers in primary education (% of total teachers),Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Fragile and conflict affected situations,FCS,..,..,74.84903717,77.5712204,71.2191391,71.87821198,72.54254913,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Heavily indebted poor countries (HIPC),HPC,..,80.24028778,69.71070862,70.00885773,70.46759796,70.29743958,71.37223816,71.66195679,75.49739838,75.90071106,75.53621674,..
Trained teachers in primary education (% of total teachers),High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),IBRD only,IBD,..,..,..,..,89.02185059,89.30766296,88.08509064,88.13565826,87.98197174,89.9708786,86.99900055,..
Trained teachers in primary education (% of total teachers),IDA & IBRD total,IBT,..,..,..,..,84.73985291,84.63903046,83.71138763,83.50496674,83.66477966,85.22634125,82.92971039,..
Trained teachers in primary education (% of total teachers),IDA blend,IDB,..,..,72.08326721,78.49672699,65.84056091,63.4328804,63.33366013,61.22843933,59.88938141,60.9513588,..,..
Trained teachers in primary education (% of total teachers),IDA only,IDX,..,74.22338104,72.25154877,72.20294952,71.99990845,71.84509277,72.13075256,72.32791138,75.08384705,75.62255859,75.42105865,..
Trained teachers in primary education (% of total teachers),IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Latin America & Caribbean,LCN,..,..,89.7735672,89.94376373,89.1517334,89.68274689,90.67978668,91.31938171,90.90930939,90.96479797,82.60578918,..
Trained teachers in primary education (% of total teachers),Latin America & Caribbean (excluding high income),LAC,..,..,89.77732086,89.84561157,89.09871674,89.63169098,90.52851868,91.19634247,90.74607086,90.81236267,82.17108154,..
Trained teachers in primary education (% of total teachers),Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,89.54032898,89.61934662,88.86358643,89.38105774,90.40653229,91.08286285,90.62036133,90.68756104,82.05552673,..
Trained teachers in primary education (% of total teachers),Least developed countries: UN classification,LDC,..,73.47966766,70.57494354,70.44548035,70.81648254,70.51811218,70.54395294,71.04261017,73.75567627,74.14318085,73.88944244,..
Trained teachers in primary education (% of total teachers),Low & middle income,LMY,..,..,..,..,84.76914215,84.68692017,83.72663879,83.51439667,83.67920685,85.25399017,82.94728851,..
Trained teachers in primary education (% of total teachers),Low income,LIC,..,..,70.37297821,69.65512085,69.63043976,70.17996979,70.88262177,70.75868988,75.40316772,75.2749176,74.69786835,..
Trained teachers in primary education (% of total teachers),Lower middle income,LMC,..,..,83.57794952,83.44052887,77.40318298,76.99597168,74.45967865,73.56060791,73.34741974,76.78465271,74.77218628,..
Trained teachers in primary education (% of total teachers),Middle East & North Africa,MEA,..,97.44544983,91.77131653,87.01249695,86.20352173,88.19415283,87.91571045,87.36160278,87.81918335,87.2417984,84.98358917,..
Trained teachers in primary education (% of total teachers),Middle East & North Africa (excluding high income),MNA,..,97.49217224,90.39492798,84.50834656,83.292099,85.77571869,85.72612,85.2461319,86.01747131,86.00533295,83.96466827,..
Trained teachers in primary education (% of total teachers),Middle East & North Africa (IDA & IBRD countries),TMN,..,97.47441101,..,84.3603363,83.12808228,85.63453674,85.5846405,85.09697723,85.87609863,85.86377716,83.79566193,..
Trained teachers in primary education (% of total teachers),Middle income,MIC,..,..,..,..,86.29060364,86.22522736,85.10855865,84.93308258,84.62036896,86.43447113,83.91413116,..
Trained teachers in primary education (% of total teachers),North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Other small states,OSS,..,84.96321106,80.33312225,78.33873749,80.85328674,81.75427246,81.33061218,80.45144653,79.95243835,81.14600372,..,..
Trained teachers in primary education (% of total teachers),Pacific island small states,PSS,..,..,73.45262909,73.68047333,76.02021027,74.90010834,71.14494324,75.19319153,70.44377899,..,..,..
Trained teachers in primary education (% of total teachers),Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Pre-demographic dividend,PRE,..,..,68.60386658,71.69403839,66.19355011,65.13668823,66.41687012,66.62734985,68.92575073,68.59382629,..,..
Trained teachers in primary education (% of total teachers),Small states,SST,..,82.54612732,79.14071655,77.81416321,79.60681915,81.8431778,81.33905792,81.01117706,80.16284943,81.03514099,78.1110611,..
Trained teachers in primary education (% of total teachers),South Asia,SAS,..,..,..,..,76.78054047,76.06672668,71.28682709,69.61723328,69.53205872,75.22470093,72.47229767,..
Trained teachers in primary education (% of total teachers),South Asia (IDA & IBRD),TSA,..,..,..,..,76.78054047,76.06672668,71.28682709,69.61723328,69.53205872,75.22470093,72.47229767,..
Trained teachers in primary education (% of total teachers),Sub-Saharan Africa,SSF,..,85.00211334,67.63760376,70.45807648,65.25466156,64.20533752,64.83535767,65.09736633,67.22261047,67.12283325,..,..
Trained teachers in primary education (% of total teachers),Sub-Saharan Africa (excluding high income),SSA,..,84.96704865,67.58229828,70.41200256,65.2061615,64.15609741,64.78825378,65.05161285,67.18312836,67.08187866,..,..
Trained teachers in primary education (% of total teachers),Sub-Saharan Africa (IDA & IBRD countries),TSS,..,85.00211334,67.63760376,70.45807648,65.25466156,64.20533752,64.83535767,65.09736633,67.22261047,67.12283325,..,..
Trained teachers in primary education (% of total teachers),Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),World,WLD,..,..,..,..,85.99536896,85.73683167,84.54295349,84.4484787,84.48473358,84.43744659,81.04679108,..
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 10/15/2020,,,,,,,,,,,,,,
